noise,condition_a,condition_b,mean_a,mean_b,delta,p_value_perm
0.0,DPO-Sys1,DPO-Reflexion,0.32083333333333336,0.32083333333333336,0.0,1.0
0.0,DPO-Reflexion,DPO-BestOf2,0.32083333333333336,0.5125000000000001,0.1916666666666667,0.10217956408718257
0.0,Base-Sys1,Base-Reflexion,0.25,0.25,0.0,1.0
0.1,DPO-Sys1,DPO-Reflexion,0.39166666666666666,0.39999999999999997,0.008333333333333304,1.0
0.1,DPO-Reflexion,DPO-BestOf2,0.39999999999999997,0.5125000000000001,0.1125000000000001,0.10217956408718257
0.1,Base-Sys1,Base-Reflexion,0.49583333333333335,0.5083333333333333,0.012499999999999956,0.4999000199960008
0.2,DPO-Sys1,DPO-Reflexion,0.1958333333333333,0.2916666666666667,0.09583333333333338,0.06958608278344332
0.2,DPO-Reflexion,DPO-BestOf2,0.2916666666666667,0.425,0.1333333333333333,0.10217956408718257
0.2,Base-Sys1,Base-Reflexion,0.5041666666666667,0.48333333333333334,-0.020833333333333315,0.8020395920815837
0.5,DPO-Sys1,DPO-Reflexion,0.049999999999999996,0.049999999999999996,0.0,1.0
0.5,DPO-Reflexion,DPO-BestOf2,0.049999999999999996,0.02916666666666667,-0.020833333333333325,0.41131773645270947
0.5,Base-Sys1,Base-Reflexion,0.07916666666666666,0.10416666666666667,0.02500000000000001,0.5710857828434314
