condition,noise,mean_validity,ci_low,ci_high,mean_calls,mean_valid_per_call
Base-Reflexion,0.0,0.25,0.2125,0.3125,1.0,0.25
Base-Reflexion,0.1,0.5083333333333333,0.5,0.525,1.0041666666666667,0.5062757201646091
Base-Reflexion,0.2,0.48333333333333334,0.4375,0.5625,1.0083333333333333,0.4796810699588478
Base-Reflexion,0.5,0.10416666666666667,0.05000000000000001,0.1625,1.025,0.10162601626016261
Base-Sys1,0.0,0.25,0.2125,0.3125,1.0,0.25
Base-Sys1,0.1,0.49583333333333335,0.4875,0.5125,1.0,0.49583333333333335
Base-Sys1,0.2,0.5041666666666667,0.4875,0.5125,1.0,0.5041666666666667
Base-Sys1,0.5,0.07916666666666666,0.0375,0.125,1.0,0.07916666666666666
DPO-BestOf2,0.0,0.5125000000000001,0.4375,0.5625,2.0,0.25625000000000003
DPO-BestOf2,0.1,0.5125000000000001,0.4625000000000001,0.575,2.0,0.25625000000000003
DPO-BestOf2,0.2,0.425,0.375,0.525,2.0,0.2125
DPO-BestOf2,0.5,0.02916666666666667,0.012500000000000002,0.05000000000000001,2.0,0.014583333333333335
DPO-Reflexion,0.0,0.32083333333333336,0.225,0.375,1.0,0.32083333333333336
DPO-Reflexion,0.1,0.39999999999999997,0.325,0.4375,1.0,0.39999999999999997
DPO-Reflexion,0.2,0.2916666666666667,0.275,0.3,1.0250000000000001,0.2844377510040161
DPO-Reflexion,0.5,0.049999999999999996,0.0375,0.075,1.0333333333333334,0.048500628797137645
DPO-Sys1,0.0,0.32083333333333336,0.225,0.375,1.0,0.32083333333333336
DPO-Sys1,0.1,0.39166666666666666,0.3499999999999999,0.4375,1.0,0.39166666666666666
DPO-Sys1,0.2,0.1958333333333333,0.17499999999999996,0.2125,1.0,0.1958333333333333
DPO-Sys1,0.5,0.049999999999999996,0.0375,0.075,1.0,0.049999999999999996
